date,instrument,weight
2024-01-05,6B_FRONT_CALENDAR,-0.33589408
2024-01-05,6E_FRONT_CALENDAR,-0.73490779
2024-01-05,6J_FRONT_CALENDAR,-0.36047713
2024-01-05,CL_FRONT_VOLUME,-0.24799720
2024-01-05,ES_FRONT_CALENDAR_2D,0.12310877
2024-01-05,GC_FRONT_VOLUME,-0.21637422
2024-01-05,NQ_FRONT_CALENDAR_2D,-0.01312438
2024-01-05,RTY_FRONT_CALENDAR_2D,0.04788368
2024-01-05,SR3_FRONT_CALENDAR,-0.69463236
2024-01-05,UB_FRONT_VOLUME,0.18063437
2024-01-05,ZF_FRONT_VOLUME,1.12891794
2024-01-05,ZN_FRONT_VOLUME,0.55805779
2024-01-05,ZT_FRONT_VOLUME,1.50000000
2024-01-12,6B_FRONT_CALENDAR,-0.23367738
2024-01-12,6E_FRONT_CALENDAR,-0.50709108
2024-01-12,6J_FRONT_CALENDAR,-0.26703914
2024-01-12,CL_FRONT_VOLUME,-0.18020360
2024-01-12,ES_FRONT_CALENDAR_2D,0.10866261
2024-01-12,GC_FRONT_VOLUME,-0.16514106
2024-01-12,NQ_FRONT_CALENDAR_2D,0.01935692
2024-01-12,RTY_FRONT_CALENDAR_2D,0.02534188
2024-01-12,SR3_FRONT_CALENDAR,-0.53733886
2024-01-12,UB_FRONT_VOLUME,0.12288813
2024-01-12,ZF_FRONT_VOLUME,0.82503395
2024-01-12,ZN_FRONT_VOLUME,0.41158800
2024-01-12,ZT_FRONT_VOLUME,1.06785782
2024-01-19,6B_FRONT_CALENDAR,-0.23920784
2024-01-19,6E_FRONT_CALENDAR,-0.48833267
2024-01-19,6J_FRONT_CALENDAR,-0.30185175
2024-01-19,CL_FRONT_VOLUME,-0.18159712
2024-01-19,ES_FRONT_CALENDAR_2D,0.15039684
2024-01-19,GC_FRONT_VOLUME,-0.17499963
2024-01-19,NQ_FRONT_CALENDAR_2D,0.06583982
2024-01-19,RTY_FRONT_CALENDAR_2D,0.03631296
2024-01-19,SR3_FRONT_CALENDAR,-0.52519885
2024-01-19,UB_FRONT_VOLUME,0.10369516
2024-01-19,ZF_FRONT_VOLUME,0.78123758
2024-01-19,ZN_FRONT_VOLUME,0.39504539
2024-01-19,ZT_FRONT_VOLUME,1.04380072
2024-01-26,6B_FRONT_CALENDAR,-0.24878084
2024-01-26,6E_FRONT_CALENDAR,-0.50965214
2024-01-26,6J_FRONT_CALENDAR,-0.32833915
2024-01-26,CL_FRONT_VOLUME,-0.17325081
2024-01-26,ES_FRONT_CALENDAR_2D,0.22451558
2024-01-26,GC_FRONT_VOLUME,-0.19890493
2024-01-26,NQ_FRONT_CALENDAR_2D,0.12187394
2024-01-26,RTY_FRONT_CALENDAR_2D,0.07426273
2024-01-26,SR3_FRONT_CALENDAR,-0.50252225
2024-01-26,UB_FRONT_VOLUME,0.07478816
2024-01-26,ZF_FRONT_VOLUME,0.68496075
2024-01-26,ZN_FRONT_VOLUME,0.34150960
2024-01-26,ZT_FRONT_VOLUME,0.93730928
2024-02-02,6B_FRONT_CALENDAR,-0.28377843
2024-02-02,6E_FRONT_CALENDAR,-0.52009335
2024-02-02,6J_FRONT_CALENDAR,-0.32884851
2024-02-02,CL_FRONT_VOLUME,-0.16663072
2024-02-02,ES_FRONT_CALENDAR_2D,0.26626308
2024-02-02,GC_FRONT_VOLUME,-0.20605709
2024-02-02,NQ_FRONT_CALENDAR_2D,0.15273845
2024-02-02,RTY_FRONT_CALENDAR_2D,0.11502557
2024-02-02,SR3_FRONT_CALENDAR,-0.41994597
2024-02-02,UB_FRONT_VOLUME,0.06240053
2024-02-02,ZF_FRONT_VOLUME,0.58086038
2024-02-02,ZN_FRONT_VOLUME,0.28675984
2024-02-02,ZT_FRONT_VOLUME,0.78802925
2024-02-09,6B_FRONT_CALENDAR,-0.28567056
2024-02-09,6E_FRONT_CALENDAR,-0.56331454
2024-02-09,6J_FRONT_CALENDAR,-0.33945251
2024-02-09,CL_FRONT_VOLUME,-0.15540985
2024-02-09,ES_FRONT_CALENDAR_2D,0.31383645
2024-02-09,GC_FRONT_VOLUME,-0.22276631
2024-02-09,NQ_FRONT_CALENDAR_2D,0.18784509
2024-02-09,RTY_FRONT_CALENDAR_2D,0.12434120
2024-02-09,SR3_FRONT_CALENDAR,-0.32443282
2024-02-09,UB_FRONT_VOLUME,0.05241475
2024-02-09,ZF_FRONT_VOLUME,0.49794596
2024-02-09,ZN_FRONT_VOLUME,0.23771733
2024-02-09,ZT_FRONT_VOLUME,0.68278705
2024-02-16,6B_FRONT_CALENDAR,-0.32221471
2024-02-16,6E_FRONT_CALENDAR,-0.62750240
2024-02-16,6J_FRONT_CALENDAR,-0.37368496
2024-02-16,CL_FRONT_VOLUME,-0.13438825
2024-02-16,ES_FRONT_CALENDAR_2D,0.37162338
2024-02-16,GC_FRONT_VOLUME,-0.24541225
2024-02-16,NQ_FRONT_CALENDAR_2D,0.22062972
2024-02-16,RTY_FRONT_CALENDAR_2D,0.15153523
2024-02-16,SR3_FRONT_CALENDAR,-0.31048333
2024-02-16,UB_FRONT_VOLUME,0.04171932
2024-02-16,ZF_FRONT_VOLUME,0.43510538
2024-02-16,ZN_FRONT_VOLUME,0.19803296
2024-02-16,ZT_FRONT_VOLUME,0.60609275
2024-02-23,6B_FRONT_CALENDAR,-0.29797239
2024-02-23,6E_FRONT_CALENDAR,-0.63427603
2024-02-23,6J_FRONT_CALENDAR,-0.41173465
2024-02-23,CL_FRONT_VOLUME,-0.12115401
2024-02-23,ES_FRONT_CALENDAR_2D,0.38894447
2024-02-23,GC_FRONT_VOLUME,-0.24867644
2024-02-23,NQ_FRONT_CALENDAR_2D,0.22924502
2024-02-23,RTY_FRONT_CALENDAR_2D,0.16681293
2024-02-23,SR3_FRONT_CALENDAR,-0.18931357
2024-02-23,UB_FRONT_VOLUME,0.03332355
2024-02-23,ZF_FRONT_VOLUME,0.34522242
