date,equity
2020-01-02,1.0
2020-01-03,1.0
2020-01-05,1.0
2020-01-06,1.0
2020-01-07,1.0
2020-01-08,1.0
2020-01-09,1.0
2020-01-10,1.0
2020-01-12,1.0
2020-01-13,1.0
2020-01-14,1.0
2020-01-15,1.0
2020-01-16,1.0
2020-01-17,1.0
2020-01-19,1.0
2020-01-20,1.0
2020-01-21,1.0
2020-01-22,1.0
2020-01-23,1.0
2020-01-24,1.0
2020-01-26,1.0
2020-01-27,1.0
2020-01-28,1.0
2020-01-29,1.0
2020-01-30,1.0
2020-01-31,1.0
2020-02-02,1.0
2020-02-03,1.0
2020-02-04,1.0
2020-02-05,1.0
2020-02-06,1.0
2020-02-07,1.0
2020-02-09,1.0
2020-02-10,1.0
2020-02-11,1.0
2020-02-12,1.0
2020-02-13,1.0
2020-02-14,1.0
2020-02-16,1.0
2020-02-17,1.0
2020-02-18,1.0
2020-02-19,1.0
2020-02-20,1.0
2020-02-21,1.0
2020-02-23,1.0
2020-02-24,1.0
2020-02-25,1.0
2020-02-26,1.0
2020-02-27,1.0
2020-02-28,1.0
2020-03-01,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,1.0
2020-03-05,1.0
2020-03-06,1.0
2020-03-08,1.0
2020-03-09,1.0
2020-03-10,1.0
2020-03-11,1.0
2020-03-12,1.0
2020-03-13,1.0
2020-03-15,1.0
2020-03-16,1.0
2020-03-17,1.0
2020-03-18,1.0
2020-03-19,1.0
2020-03-20,0.9758630727958417
2020-03-22,0.9554398374497057
2020-03-23,0.9577629771190052
2020-03-24,0.9770258351324359
2020-03-25,0.9767640008427626
2020-03-26,0.9888717813705088
2020-03-27,0.9921701280038384
2020-03-29,0.9903856470681243
2020-03-30,0.9954431364547821
2020-03-31,0.9841826905188005
2020-04-01,0.9776214372047595
2020-04-02,0.9746968494433881
2020-04-03,0.966657871240004
2020-04-05,0.9710029116343227
2020-04-06,0.9822957979423599
2020-04-07,0.9912679936393944
2020-04-08,0.9972744572424361
2020-04-09,1.0024894905108697
2020-04-10,1.0050212107428673
2020-04-12,1.004624545432826
